x1	y1	x2	y2
171.549000	297.670000	298.971000	355.502000
541.068000	297.834000	251.729000	332.766000
130.157000	298.941000	141.838000	265.287000
242.848000	299.502000	545.390000	257.765000
309.703000	302.928000	466.751000	246.540000
341.938000	301.956000	324.312000	265.883000
341.938000	301.956000	324.312000	265.883000
477.619000	302.423000	190.140000	122.182000
26.293900	304.419000	70.785200	244.604000
89.762700	308.107000	106.928000	273.037000
113.967000	307.960000	119.330000	273.036000
288.061000	310.205000	78.825300	226.096000
499.698000	312.674000	111.019000	359.314000
188.374000	315.506000	219.443000	209.500000
523.839000	316.796000	379.776000	214.096000
362.004000	320.005000	549.873000	293.791000
81.666600	325.353000	373.839000	141.737000
63.401100	326.457000	65.361100	254.295000
43.737300	330.420000	115.759000	218.124000
132.033000	331.500000	148.049000	288.625000
132.033000	331.500000	148.049000	288.625000
577.208000	339.116000	528.347000	418.123000
566.622000	342.354000	150.919000	208.521000
113.926000	343.432000	111.876000	299.810000
530.789000	344.574000	560.123000	292.064000
431.167000	347.316000	464.174000	302.035000
18.107200	352.741000	253.431000	390.290000
488.125000	353.937000	265.804000	268.919000
393.100000	355.132000	289.075000	223.255000
515.857000	354.760000	520.522000	241.084000
92.852500	357.181000	551.328000	338.357000
259.956000	361.562000	549.129000	367.399000
317.115000	362.111000	299.799000	314.065000
317.115000	362.111000	299.799000	314.065000
332.286000	362.348000	312.818000	314.475000
332.286000	362.348000	262.709000	313.270000
362.753000	362.583000	257.246000	313.230000
225.946000	363.615000	382.226000	69.690000
283.206000	363.235000	225.639000	170.689000
186.733000	364.841000	178.527000	357.350000
45.773000	366.963000	230.926000	345.408000
66.313600	371.061000	207.674000	167.075000
14.771800	373.762000	258.686000	292.254000
14.771800	373.762000	529.855000	294.000000
559.498000	373.579000	433.453000	280.053000
559.498000	373.579000	463.231000	297.294000
263.265000	374.891000	583.867000	218.252000
463.250000	379.163000	408.394000	330.002000
433.499000	380.599000	408.394000	330.002000
492.145000	380.354000	466.961000	331.182000
425.928000	383.096000	458.629000	332.842000
554.335000	384.066000	582.242000	294.000000
44.104000	385.084000	562.384000	144.971000
338.253000	384.899000	241.600000	364.780000
499.326000	386.117000	126.195000	298.705000
311.561000	387.147000	453.932000	370.808000
347.146000	387.975000	324.338000	334.683000
347.146000	387.975000	324.338000	334.683000
127.833000	390.121000	156.834000	347.920000
317.190000	390.992000	299.330000	335.901000
171.343000	392.270000	437.511000	255.552000
171.343000	392.270000	437.511000	255.552000
356.702000	391.862000	346.742000	314.996000
220.988000	395.211000	257.716000	246.812000
374.903000	395.943000	209.623000	340.904000
151.479000	397.249000	379.402000	111.493000
